"title","nViews","nComments","nSubscribers","nVideos"
"LadyGagaVEVO",4635236307,194011,8432272,141
"beyonceVEVO",6789361193,30756,11990558,126
"RihannaVEVO",11064146386,78210,24459124,107
"KatyPerryVEVO",11400336617,46280,21821011,98
"BritneySpearsVEVO",3591282169,47155,4559212,90
"MADONNAVEVO",367142144,1203,989954,16
"AdeleVEVO",5666718243,16190,14428009,31
"TaylorSwiftVEVO",11150327332,39427,21927481,77
"ArianaGrandeVevo",6756278290,2715,16205207,75
"iggyazaleamusicVEVO",2098302742,70,4787172,40
"MileyCyrusVEVO",2600643528,26360,9009083,37
"LordeVEVO",1089991717,143,3255449,50
"NickiMinajAtVEVO",4641715232,24142,11880479,55
"MeghanTrainorVEVO",4135020894,0,7836904,32
"SelenaGomezVEVO",4685514981,62817,11974126,112
"EllieGouldingVEVO",3597380481,1159,7102340,94
"ToveLoVEVO",1077274720,1,2013296,62
"SiaVEVO",4911241399,217,8542905,73
"carrieunderwoodVEVO",647980645,1930,1169859,68
"AlessiaCaraVEVO",376794980,0,1572092,51
"PinkVEVO",2853317388,8130,6346984,106
"JenniferLopezVEVO",4146550235,18232,5918921,89
"CelineDionVEVO",1117549330,1014,1459103,152
"MariahCareyVEVO",2287858684,6256,2479533,154
