"Nome","title","publishedAt","video_id","views"
"Lady Gaga","Lady Gaga - Speechless (Live At The VEVO Launch Event)",2009-12-25,"_7HvURBhMGE",27927085
"Lady Gaga","Lady Gaga - Eh, Eh (Nothing Else I Can Say)",2009-06-16,"mVEG793G3N4",70580912
"Lady Gaga","Lady Gaga - Poker Face",2009-12-20,"bESGLojNYSo",407630422
"Lady Gaga","Lady Gaga - Just Dance ft. Colby O'Donis",2009-06-17,"2Abk1jAONjw",218213722
"Lady Gaga","Lady Gaga - Beautiful, Dirty, Rich",2009-12-14,"7Nr33m1zXVE",34619962
"Lady Gaga","Lady Gaga - LoveGame",2009-06-16,"1mB0tP1I-14",131095285
"Lady Gaga","Lady Gaga - Bad Romance (Behind the Scenes)",2009-12-02,"R-Loodl2cgA",10304315
"Lady Gaga","Lady Gaga - Paparazzi (Explicit)",2009-11-24,"qStFzmQGQNw",25426182
"Lady Gaga","Lady Gaga - Paparazzi",2009-11-26,"d2smz_1L2_0",187492056
"Lady Gaga","Lady Gaga - Bad Romance",2009-11-24,"qrO4YZeyl0I",805604126
"Lady Gaga","Lady Gaga - Paparazzi (AOL Sessions)",2009-12-11,"XC1DRAxJr_A",24052180
"Lady Gaga","Lady Gaga - LoveGame (Behind the Scenes)",2009-12-11,"VGrWWrKntLw",10900805
"Lady Gaga","Eh, Eh (Nothing Else I Can Say) (Behind the Scenes)",2009-06-16,"zZ8GTIyi7e0",2736680
"Lady Gaga","Lady Gaga - Telephone ft. Beyoncé",2010-03-11,"GQ95z6ywcBY",61382081
"Lady Gaga","Lady Gaga - Telephone (Behind the Scenes) ft. Beyoncé",2010-03-16,"kQvBjs9u5Hw",15339038
"Lady Gaga","Lady Gaga - Poker Face (The Making Of)",2010-05-11,"fP6llF3sFgo",4954016
"Lady Gaga","Lady Gaga - The Fame Monster Best Buy In-Store",2010-01-09,"RoBj7JaiTlI",4530073
"Lady Gaga","Lady Gaga - Alejandro",2010-06-08,"niqrrmev4mA",301882436
"Lady Gaga","Lady Gaga - Bloody Mary",2011-05-18,"VFwmKL5OL-Q",14815101
"Lady Gaga","Lady Gaga - Scheiße",2011-05-18,"_sNi9nIXxVo",12658946
"Lady Gaga","Lady Gaga - Highway Unicorn (Road To Love)",2011-05-18,"-Q0m-48Sjok",4003972
"Lady Gaga","Lady Gaga - Marry The Night (Audio)",2011-05-18,"O4IgYxHEAuk",27074764
"Lady Gaga","Lady Gaga - Yoü And I (A Very Gaga Thanksgiving)",2011-11-25,"xcLtmrWC4Xc",2860354
"Lady Gaga","Lady Gaga - Government Hooker",2011-05-18,"o8uMXyxvbKA",8038015
"Lady Gaga","Lady Gaga - Born This Way (GRAMMYs on CBS)",2011-02-18,"xl0N7JM3wZk",22684285
"Lady Gaga","Lady Gaga - Born This Way (A Very Gaga Thanksgiving)",2011-11-25,"JLmMsQsp5ZM",4171583
"Lady Gaga","Lady Gaga - Just Dance (Gaga Live Sydney Monster Hall)",2011-08-24,"YdoR156Ba1Q",4852444
"Lady Gaga","Lady Gaga - Electric Chapel (Audio)",2011-05-20,"DDt_oagItBM",5015079
"Lady Gaga","Lady Gaga - Americano",2011-05-18,"fHGKG9dyTKI",13020783
"Lady Gaga","Lady Gaga - The Edge of Glory (A Very Gaga Thanksgiving)",2011-11-25,"jQ7BQuoRmbs",2735392
"Lady Gaga","Lady Gaga - Bad Kids",2011-05-18,"lxhjHz9FYQE",4526324
"Lady Gaga","Lady Gaga - Fashion Of His Love",2011-05-18,"cZv-yVuvFi4",2874859
"Lady Gaga","Lady Gaga - Hair (Audio)",2011-05-16,"Okq8xHrIZ8I",17387026
"Lady Gaga","Lady Gaga - Heavy Metal Lover (Audio)",2011-05-19,"lyN5157_Xos",6849426
"Lady Gaga","Lady Gaga - Judas (Gaga Live Sydney Monster Hall)",2011-08-24,"aRWfs_Ug-rU",4056533
"Lady Gaga","Lady Gaga - Marry The Night (A Very Gaga Thanksgiving)",2011-11-24,"4B9WXiffEps",6153882
"Lady Gaga","Lady Gaga - The Edge of Glory (Gaga Live Sydney Monster Hall)",2011-08-24,"8LznZ8JMkAM",2073132
"Lady Gaga","Lady Gaga - The Queen",2011-05-20,"Cf72ljWJqAY",3998926
"Lady Gaga","Lady Gaga - Born This Way (Gaga Live Sydney Monster Hall)",2011-08-24,"NCEcWA0wy_E",3053066
"Lady Gaga","Lady Gaga - Bad Romance (Gaga Live Sydney Monster Hall)",2011-08-24,"OXm6_v0rMCY",7380497
"Lady Gaga","Lady Gaga - Poker Face (Gaga Live Sydney Monster Hall)",2011-08-24,"3j4yah8vqGM",3161879
"Lady Gaga","Lady Gaga - Black Jesus † Amen Fashion (Audio)",2011-05-18,"gWL4u3Exiq8",3289930
"Lady Gaga","Lady Gaga - The Edge Of Glory",2011-06-17,"QeWBS0JBNzQ",111314163
"Lady Gaga","Lady Gaga - Hair (Gaga Live Sydney Monster Hall)",2011-08-24,"n0SgEueXZpk",1333193
"Lady Gaga","Lady Gaga - Yoü And I",2011-08-17,"X9YMU0WeBwU",111963948
"Lady Gaga","Lady Gaga - The Edge of Glory (Live on American Idol)",2011-05-28,"9fEZRnOV63w",5021003
"Lady Gaga","Lady Gaga - Judas (Live on SNL)",2011-05-22,"jllBU1SIEUg",4922222
"Lady Gaga","Lady Gaga - Born This Way (Live on SNL)",2011-05-22,"2E8MhqiyLTA",4687275
"Lady Gaga","Lady Gaga - Marry The Night: The Prelude Pathétique",2011-11-17,"L9oP_CKRUX4",6649477
"Lady Gaga","Lady Gaga - Judas (On The Record With Fuse)",2011-05-19,"zCn_QcS-4pY",599992
"Lady Gaga","Lady Gaga - Fashion Of His Love  (Fernando Garibay Remix)",2011-05-18,"H9ETL0UbVmY",506874
"Lady Gaga","Lady Gaga - Judas",2011-05-03,"wagn8Wrmzuc",270328618
"Lady Gaga","Lady Gaga - Scheiße (DJ White Shadow Mugler)",2011-05-18,"gKF9RunCC0I",725822
"Lady Gaga","Lady Gaga - VEVO News Exclusive Interview, Pt. 2",2011-12-03,"F6QDZmhuAOg",600216
"Lady Gaga","Lady Gaga - Marry The Night (Official Video)",2011-12-02,"cggNqDAtJYU",74280948
"Lady Gaga","Lady Gaga - Marry The Night (Zedd Remix)",2011-05-18,"R90Fb3VuAiA",1278379
