"Nome","ano","total_views"
"Adele","2009",179037729
"Adele","2010",1084509529
"Adele","2011",1519559556
"Adele","2012",249637387
"Adele","2015",2242933571
"Adele","2016",392681054
"Alessia Cara","2015",282659940
"Alessia Cara","2016",93741386
"Ariana Grande","2013",657993452
"Ariana Grande","2014",2632537504
"Ariana Grande","2015",1161999059
"Ariana Grande","2016",2179508933
"Ariana Grande","2017",110564498
"Beyonce","2009",3124165088
"Beyonce","2010",194455916
"Beyonce","2011",1538935852
"Beyonce","2012",86796306
"Beyonce","2013",541276092
"Beyonce","2014",711188285
"Beyonce","2015",7209553
"Beyonce","2016",372548810
"Beyonce","2017",19843816
"Briney Spears","2009",2168439148
"Briney Spears","2011",671364613
"Briney Spears","2012",5426852
"Briney Spears","2013",380810118
"Briney Spears","2014",5175113
"Briney Spears","2015",179623967
"Briney Spears","2016",178103686
"Carrie Underwood","2009",276152529
"Carrie Underwood","2010",113606744
"Carrie Underwood","2011",393789
"Carrie Underwood","2012",64218177
"Carrie Underwood","2013",60964205
"Carrie Underwood","2014",23564465
"Carrie Underwood","2015",68416702
"Carrie Underwood","2016",40704077
"Celine Dion","2009",367545799
"Celine Dion","2010",70547574
"Celine Dion","2011",277461133
"Celine Dion","2012",240242700
"Celine Dion","2013",66290775
"Celine Dion","2014",17071609
"Celine Dion","2015",15192070
"Celine Dion","2016",60136363
"Celine Dion","2017",286584
"Ellie Goulding","2010",16621365
"Ellie Goulding","2011",222164983
"Ellie Goulding","2012",137940241
"Ellie Goulding","2013",1204812639
"Ellie Goulding","2014",141476323
"Ellie Goulding","2015",1704890737
"Ellie Goulding","2016",169841443
"Iggy Azalea","2013",507057250
"Iggy Azalea","2014",1301667251
"Iggy Azalea","2015",91409219
"Iggy Azalea","2016",176641137
"Iggy Azalea","2017",22817684
"Jennifer Lopez","2009",697490925
"Jennifer Lopez","2011",1679562709
"Jennifer Lopez","2012",643052357
"Jennifer Lopez","2013",201680657
"Jennifer Lopez","2014",402591825
"Jennifer Lopez","2015",38937108
"Jennifer Lopez","2016",465668856
"Jennifer Lopez","2017",523371
"Katty Perry","2008",747771415
"Katty Perry","2009",169027302
"Katty Perry","2010",1601594599
"Katty Perry","2011",1966794844
"Katty Perry","2012",1403362236
"Katty Perry","2013",2455149754
"Katty Perry","2014",2674070984
"Katty Perry","2015",22813670
"Katty Perry","2016",110089974
"Katty Perry","2017",223503468
"Lady Gaga","2009",1960829414
"Lady Gaga","2010",388702285
"Lady Gaga","2011",992167804
"Lady Gaga","2013",448263269
"Lady Gaga","2014",168756830
"Lady Gaga","2015",56128486
"Lady Gaga","2016",294312931
"Lady Gaga","2017",26172362
"Lord","2013",952677876
"Lord","2014",82539481
"Lord","2016",281638
"Lord","2017",53093301
"Madonna","2012",42812780
"Madonna","2013",9649957
"Madonna","2015",304417116
"Madonna","2016",312008
"Mariah Carey","2009",1884770893
"Mariah Carey","2010",185265957
"Mariah Carey","2011",4790214
"Mariah Carey","2012",26153860
"Mariah Carey","2013",86318826
"Mariah Carey","2014",33986407
"Mariah Carey","2015",44544854
"Mariah Carey","2016",4821521
"Mariah Carey","2017",16755992
"Meghan Trainor","2014",2425620695
"Meghan Trainor","2015",902531642
"Meghan Trainor","2016",791720358
"Meghan Trainor","2017",15537188
"Miley Cyrus","2010",435288653
"Miley Cyrus","2013",2031977082
"Miley Cyrus","2014",7684876
"Miley Cyrus","2015",126011657
"Nicki Minaj","2010",237070905
"Nicki Minaj","2011",374683279
"Nicki Minaj","2012",922767164
"Nicki Minaj","2013",9134420
"Nicki Minaj","2014",1336670745
"Nicki Minaj","2015",340567424
"Nicki Minaj","2017",17385320
"Pink","2009",963729009
"Pink","2010",177571876
"Pink","2011",121855528
"Pink","2012",501190276
"Pink","2013",765299113
"Pink","2014",1498829
"Pink","2015",5002867
"Pink","2016",193933009
"Pink","2017",136450
"Rihanna","2009",2578166357
"Rihanna","2010",1784134717
"Rihanna","2011",2136904060
"Rihanna","2012",1537663037
"Rihanna","2013",1061115040
"Rihanna","2014",6645096
"Rihanna","2015",630787932
"Rihanna","2016",1319818650
"Selena Gomez","2009",465039693
"Selena Gomez","2010",450824287
"Selena Gomez","2011",902000791
"Selena Gomez","2012",27707590
"Selena Gomez","2013",902822335
"Selena Gomez","2014",501826036
"Selena Gomez","2015",865713764
"Selena Gomez","2016",560844643
"Selena Gomez","2017",5690816
"Sia","2009",89230758
"Sia","2010",23227922
"Sia","2011",21200820
"Sia","2014",1629047800
"Sia","2015",1463553453
"Sia","2016",1642280890
"Sia","2017",28752618
"Taylor Swift","2009",1776639577
"Taylor Swift","2010",311998039
"Taylor Swift","2011",517350349
"Taylor Swift","2012",1151794897
"Taylor Swift","2013",785954453
"Taylor Swift","2014",4103732003
"Taylor Swift","2015",2063519369
"Taylor Swift","2016",182504135
"Taylor Swift","2017",256904760
"Tove Lo","2013",20257511
"Tove Lo","2014",843771816
"Tove Lo","2015",142156154
"Tove Lo","2016",70785847
"Tove Lo","2017",377457
